id,name,year,rating,availability
348,...And Call Me In the Morning,1999,NULL,Yes
349,...And Justice for All,1979,6.9,Yes
350,...And Millions Die!,1973,4,Yes
351,...and Quiet Flows the Don,2004,NULL,Yes
352,...And the Earth Did Not Swallow Him,1995,5.8,Yes
353,...And Then She Was Gone,1991,NULL,Yes
354,...and They Lived Happily Ever After,1975,NULL,Yes
355,...Angola No Est  Venda,1963,NULL,Yes
356,...ani smrt nebere,1996,NULL,Yes
357,...At First Sight,2000,NULL,Yes
358,...Au champ d'honneur,1998,NULL,Yes
359,...Aur Pyaar Ho Gaya,1997,5.5,Yes
360,...Az vozdam,1993,NULL,Yes
361,...Because She Disobeyed,1935,6,Yes
362,"...Belpaese, Il",1977,5.5,Yes
363,...beschloss ich Politiker zu werden,1985,NULL,Yes
364,...bis Montagmorgen,1991,NULL,Yes
365,"...borgnes sont rois, Les",1974,8,Yes
366,...boroume kai kato ap' ta thrania!,1983,NULL,Yes
367,...But I Was a Girl: The Story of Frieda Belinfante,1999,NULL,Yes
368,...but the clouds...,1977,NULL,Yes
369,...Comme elle respire,1998,5.9,Yes
370,...continuavano a chiamarlo Trinit,1972,6.7,Yes
371,...dann hau ich eben ab,1995,NULL,Yes
372,...Dat geit los!,1999,NULL,Yes
373,...denn alle Schuld rcht sich auf Erden,1913,NULL,Yes
374,...des contes d'Hoffmann,1993,NULL,Yes
375,...die begrndete Sorge der Indianer um ihre Frauen und Kinder whrend der Schlacht,2003,NULL,Yes
376,...die man liebt...,1998,NULL,Yes
377,"...dopo di che, uccide il maschio e lo divora",1971,NULL,Yes
378,"...Duren' ty, duren'!",1931,NULL,Yes
379,...E a Vaca Foi Para o Brejo,1981,NULL,Yes
380,...e alla fine lo chiamarono Jerusalem l'implacabile,1972,NULL,Yes
381,...e continuavano a mettere lo diavolo ne lo inferno,1973,NULL,Yes
382,...e cos divennero i tre supermen del West,1973,NULL,Yes
383,...E di Saul e dei sicari sulle vie di Damasco,1973,NULL,Yes
384,...E i cannoni tuonano ancora,1974,NULL,Yes
385,...E il terzo giorno arriv il corvo,1973,NULL,Yes
386,...e la donna cre l'uomo,1964,NULL,Yes
387,...e la vita continua,1984,NULL,Yes
388,...e lo chiamarono Spirito Santo,1971,NULL,Yes
389,...E non dirsi addio!,1948,NULL,Yes
390,...e per tetto un cielo di stelle,1968,3.5,Yes
391,...E se per caso una mattina,1972,NULL,Yes
392,...E si salv solo l'aretino Pietro con una mano avanti e l'altra dietro,1972,NULL,Yes
393,...e tanta paura,1976,5.4,Yes
394,...e venne il tempo di uccidere,1968,NULL,Yes
396,"...en fin, el mar",2005,NULL,Yes
397,...erst wenn,1987,NULL,Yes
398,...erwachsen sein dagegen sehr,1956,NULL,Yes
399,...et mourir de dsir,1974,NULL,Yes
400,...First Do No Harm,1997,NULL,Yes
401,...fr vnskaps skull...,1965,NULL,Yes
402,...heute abend bei mir,1934,NULL,Yes
403,...hogy szaladnak a fk!,1967,NULL,Yes
404,...I drugie offitsialnye litsa,1976,NULL,Yes
405,...I vsya lyubov',1989,NULL,Yes
406,...ich bin keiner von uns,1999,NULL,Yes
407,...Influenced by None,2003,NULL,Yes
408,...ing,2003,7.3,Yes
409,...Is It the Design on the Wrapper?,1997,2.4,Yes
410,...Ispolnit vsyakuyu pravdu,1987,NULL,Yes
411,...It Is Nice to Be Privileged,1976,NULL,Yes
412,...ja Helena soittaa,1952,NULL,Yes
413,...Ja teeb trikke,1978,7.8,Yes
414,...kai dio avga Tourkias,1987,NULL,Yes
415,...kone na betne,1995,NULL,Yes
416,...lipotaktis,1988,NULL,Yes
417,...Lost,2000,6,Yes
418,...Maybe This Time,1980,5.7,Yes
419,...mit besten Empfehlungen,1979,NULL,Yes
420,...na vojne jako kdyz najdes,1967,NULL,Yes
421,...nebo bt zabit,1985,NULL,Yes
422,...nur ein Komdiant,1935,NULL,Yes
423,...nur noch die Hlfte wert,1978,NULL,Yes
424,...nchste Woche ist Frieden,1995,NULL,Yes
425,...och alla dessa kvinnor,1944,NULL,Yes
426,...och efter skymning kommer mrker,1947,NULL,Yes
427,...och halva kungariket,1998,NULL,Yes
428,...Or Forever Hold Your Peace,2000,6.9,Yes
429,...Pervaya lyubov,1995,NULL,Yes
430,...Po prozvishchu 'Zver',1990,4.4,Yes
431,...Quando Troveja,1999,4.7,Yes
437,...reitet fr Deutschland,1941,3.6,Yes
438,...Remote... Remote...,1973,NULL,Yes
439,"...schwierig, sich zu verloben",1983,NULL,Yes
440,...Se non avessi l'amore,1991,NULL,Yes
441,...Sinon j'touffe,2004,NULL,Yes
442,...so groe Augen,1994,NULL,Yes
443,...sol y lluvia,2001,NULL,Yes
444,...som en tjuv om natten,1940,NULL,Yes
445,...som havets nakna vind,1968,5.1,Yes
446,...Sometimes in April,2004,NULL,Yes
447,...sonst erblindet die Seele,1994,NULL,Yes
448,...Sub clar de luna,2002,NULL,Yes
449,...The Making of...,2003,NULL,Yes
450,...tick...tick...tick...,1970,5.9,Yes
451,...To Be with Me,1999,NULL,Yes
452,...To Skin a Cat,2004,NULL,Yes
453,...und abends in die Scala,1958,5.3,Yes
454,...und andere Ergsse!,1991,NULL,Yes
455,...und das ist erst der Anfang,2000,5.9,Yes
456,...und Deine Liebe auch,1962,NULL,Yes
457,...und die Bibel hat doch recht,1977,NULL,Yes
458,...und die Liebe lacht dazu,1957,NULL,Yes
459,...und die Musik spielt dazu,1943,NULL,Yes
460,...und Du bist die,1992,NULL,Yes
461,"...und du, mein Schatz, bleibst hier",1961,NULL,Yes
462,...und es leuchtet die Puta,1932,NULL,Yes
463,...und es lockt ein Ruf aus sndiger Welt,1925,NULL,Yes
464,...und ewig bleibt die Liebe,1954,NULL,Yes
465,...und ewig knallen die Ruber,1962,NULL,Yes
466,...und fhre uns nicht in Versuchung,1917,NULL,Yes
467,...und fhre uns nicht in Versuchung,1957,3.2,Yes
468,"...und heute ins Theater - Ich, Erste Person Einzahl",1965,NULL,Yes
469,...und htte der Liebe nicht,1927,NULL,Yes
470,"...und ich dachte, du magst mich",1986,NULL,Yes
471,...und keiner schmte sich,1960,NULL,Yes
472,...und nichts als die Wahrheit,1958,NULL,Yes
473,...und noch nicht sechzehn,1968,NULL,Yes
